id,time,flow_sim1,flow_sim2
BC-BB-F3-17300-0101,2019-03-22 00:01:00,0.0,0.0
BC-BB-F3-17300-0101,2019-03-22 00:02:00,0.0,0.0
BC-BB-F3-17300-0101,2019-03-22 00:03:00,0.0,0.0
BC-BB-F3-17300-0101,2019-03-22 00:04:00,0.0,0.0
BC-BB-F3-17300-0101,2019-03-22 00:05:00,0.0,0.0
BC-BB-F3-17300-0101,2019-03-22 00:06:00,0.0,0.0
BC-BB-F3-17300-0101,2019-03-22 00:07:00,0.0,0.000226
BC-BB-F3-17300-0101,2019-03-22 00:08:00,0.0,0.000756
BC-BB-F3-17300-0101,2019-03-22 00:09:00,0.0,0.001923
BC-BB-F3-17300-0101,2019-03-22 00:10:00,0.0,0.003946
BC-BB-F3-17300-0101,2019-03-22 00:11:00,0.0,0.007125
BC-BB-F3-17300-0101,2019-03-22 00:12:00,0.0,0.0117
BC-BB-F3-17300-0101,2019-03-22 00:13:00,0.0,0.017726
BC-BB-F3-17300-0101,2019-03-22 00:14:00,0.0,0.025066
BC-BB-F3-17300-0101,2019-03-22 00:15:00,0.0,0.033585
BC-BB-F3-17300-0101,2019-03-22 00:16:00,0.0,0.043264
BC-BB-F3-17300-0101,2019-03-22 00:17:00,0.0,0.053627
BC-BB-F3-17300-0101,2019-03-22 00:18:00,0.0,0.065096
BC-BB-F3-17300-0101,2019-03-22 00:19:00,0.0,0.077904
BC-BB-F3-17300-0101,2019-03-22 00:20:00,0.0,0.092113
BC-BB-F3-17300-0101,2019-03-22 00:21:00,0.0,0.10746
BC-BB-F3-17300-0101,2019-03-22 00:22:00,0.0,0.123401
BC-BB-F3-17300-0101,2019-03-22 00:23:00,0.0,0.139396
BC-BB-F3-17300-0101,2019-03-22 00:24:00,0.000115,0.15506
BC-BB-F3-17300-0101,2019-03-22 00:25:00,0.00016,0.170187
BC-BB-F3-17300-0101,2019-03-22 00:26:00,0.000223,0.18466
BC-BB-F3-17300-0101,2019-03-22 00:27:00,0.000306,0.198254
BC-BB-F3-17300-0101,2019-03-22 00:28:00,0.000399,0.210832
BC-BB-F3-17300-0101,2019-03-22 00:29:00,0.000518,0.222349
BC-BB-F3-17300-0101,2019-03-22 00:30:00,0.00063,0.232803
BC-BB-F3-17300-0101,2019-03-22 00:31:00,0.000808,0.242174
BC-BB-F3-17300-0101,2019-03-22 00:32:00,0.001006,0.250273
BC-BB-F3-17300-0101,2019-03-22 00:33:00,0.001235,0.25702
BC-BB-F3-17300-0101,2019-03-22 00:34:00,0.0015,0.262436
BC-BB-F3-17300-0101,2019-03-22 00:35:00,0.001806,0.266621
BC-BB-F3-17300-0101,2019-03-22 00:36:00,0.002162,0.269762
BC-BB-F3-17300-0101,2019-03-22 00:37:00,0.002582,0.272236
BC-BB-F3-17300-0101,2019-03-22 00:38:00,0.003084,0.27437
BC-BB-F3-17300-0101,2019-03-22 00:39:00,0.003701,0.276398
BC-BB-F3-17300-0101,2019-03-22 00:40:00,0.004499,0.278481
BC-BB-F3-17300-0101,2019-03-22 00:41:00,0.005622,0.280652
