id,time,total_inflow_sim1,total_inflow_sim2
BC-BB-F3-18890,2019-03-22 00:01:00,0.0,0.0
BC-BB-F3-18890,2019-03-22 00:02:00,0.0,0.0
BC-BB-F3-18890,2019-03-22 00:03:00,0.0,0.0
BC-BB-F3-18890,2019-03-22 00:04:00,0.0,0.0
BC-BB-F3-18890,2019-03-22 00:05:00,0.0,0.0
BC-BB-F3-18890,2019-03-22 00:06:00,0.0,0.0
BC-BB-F3-18890,2019-03-22 00:07:00,0.0,6.6e-05
BC-BB-F3-18890,2019-03-22 00:08:00,0.0,0.000366
BC-BB-F3-18890,2019-03-22 00:09:00,5e-05,0.001178
BC-BB-F3-18890,2019-03-22 00:10:00,0.000147,0.002978
BC-BB-F3-18890,2019-03-22 00:11:00,0.00033,0.006257
BC-BB-F3-18890,2019-03-22 00:12:00,0.000697,0.011567
BC-BB-F3-18890,2019-03-22 00:13:00,0.00135,0.018463
BC-BB-F3-18890,2019-03-22 00:14:00,0.002428,0.025346
BC-BB-F3-18890,2019-03-22 00:15:00,0.004106,0.032534
BC-BB-F3-18890,2019-03-22 00:16:00,0.006583,0.040169
BC-BB-F3-18890,2019-03-22 00:17:00,0.010062,0.048322
BC-BB-F3-18890,2019-03-22 00:18:00,0.014604,0.057202
BC-BB-F3-18890,2019-03-22 00:19:00,0.019134,0.067208
BC-BB-F3-18890,2019-03-22 00:20:00,0.023463,0.078561
BC-BB-F3-18890,2019-03-22 00:21:00,0.027679,0.090506
BC-BB-F3-18890,2019-03-22 00:22:00,0.031856,0.10205
BC-BB-F3-18890,2019-03-22 00:23:00,0.036079,0.112237
BC-BB-F3-18890,2019-03-22 00:24:00,0.04045,0.121104
BC-BB-F3-18890,2019-03-22 00:25:00,0.045008,0.129822
BC-BB-F3-18890,2019-03-22 00:26:00,0.049738,0.138208
BC-BB-F3-18890,2019-03-22 00:27:00,0.054571,0.146101
BC-BB-F3-18890,2019-03-22 00:28:00,0.059396,0.153411
BC-BB-F3-18890,2019-03-22 00:29:00,0.064157,0.160098
BC-BB-F3-18890,2019-03-22 00:30:00,0.0688,0.166158
BC-BB-F3-18890,2019-03-22 00:31:00,0.073178,0.171601
BC-BB-F3-18890,2019-03-22 00:32:00,0.077213,0.17657
BC-BB-F3-18890,2019-03-22 00:33:00,0.080894,0.181269
BC-BB-F3-18890,2019-03-22 00:34:00,0.084231,0.1856
BC-BB-F3-18890,2019-03-22 00:35:00,0.087249,0.189485
BC-BB-F3-18890,2019-03-22 00:36:00,0.089983,0.192892
BC-BB-F3-18890,2019-03-22 00:37:00,0.092475,0.19582
BC-BB-F3-18890,2019-03-22 00:38:00,0.094767,0.198291
BC-BB-F3-18890,2019-03-22 00:39:00,0.096898,0.200338
BC-BB-F3-18890,2019-03-22 00:40:00,0.098903,0.201986
BC-BB-F3-18890,2019-03-22 00:41:00,0.100818,0.203276
BC-BB-F3-18890,2019-03-22 00:42:00,0.102679,0.204261
BC-BB-F3-18890,2019-03-22 00:43:00,0.104536,0.204968
BC-BB-F3-18890,2019-03-22 00:44:00,0.106455,0.20544
BC-BB-F3-18890,2019-03-22 00:45:00,0.108519,0.205722
BC-BB-F3-18890,2019-03-22 00:46:00,0.110844,0.205846
BC-BB-F3-18890,2019-03-22 00:47:00,0.113631,0.205846
BC-BB-F3-18890,2019-03-22 00:48:00,0.117127,0.205756
BC-BB-F3-18890,2019-03-22 00:49:00,0.12128,0.205611
BC-BB-F3-18890,2019-03-22 00:50:00,0.125678,0.20544
BC-BB-F3-18890,2019-03-22 00:51:00,0.129883,0.20527
BC-BB-F3-18890,2019-03-22 00:52:00,0.133678,0.205123
BC-BB-F3-18890,2019-03-22 00:53:00,0.137019,0.205011
BC-BB-F3-18890,2019-03-22 00:54:00,0.139953,0.204948
BC-BB-F3-18890,2019-03-22 00:55:00,0.142574,0.204947
BC-BB-F3-18890,2019-03-22 00:56:00,0.145012,0.205017
BC-BB-F3-18890,2019-03-22 00:57:00,0.147405,0.205161
BC-BB-F3-18890,2019-03-22 00:58:00,0.149886,0.205376
BC-BB-F3-18890,2019-03-22 00:59:00,0.152548,0.205654
BC-BB-F3-18890,2019-03-22 01:00:00,0.155381,0.205986
BC-BB-F3-18890,2019-03-22 01:01:00,0.158275,0.206359
BC-BB-F3-18890,2019-03-22 01:02:00,0.161091,0.206758
BC-BB-F3-18890,2019-03-22 01:03:00,0.163729,0.207174
BC-BB-F3-18890,2019-03-22 01:04:00,0.166144,0.207601
BC-BB-F3-18890,2019-03-22 01:05:00,0.16834,0.208036
BC-BB-F3-18890,2019-03-22 01:06:00,0.170346,0.20847
BC-BB-F3-18890,2019-03-22 01:07:00,0.17221,0.20892
BC-BB-F3-18890,2019-03-22 01:08:00,0.173986,0.209432
BC-BB-F3-18890,2019-03-22 01:09:00,0.175717,0.210058
BC-BB-F3-18890,2019-03-22 01:10:00,0.177439,0.210834
BC-BB-F3-18890,2019-03-22 01:11:00,0.179177,0.211801
BC-BB-F3-18890,2019-03-22 01:12:00,0.180971,0.213073
BC-BB-F3-18890,2019-03-22 01:13:00,0.182864,0.214856
BC-BB-F3-18890,2019-03-22 01:14:00,0.184882,0.217384
BC-BB-F3-18890,2019-03-22 01:15:00,0.18704,0.220877
BC-BB-F3-18890,2019-03-22 01:16:00,0.189354,0.225517
BC-BB-F3-18890,2019-03-22 01:17:00,0.19185,0.231424
BC-BB-F3-18890,2019-03-22 01:18:00,0.194565,0.238619
BC-BB-F3-18890,2019-03-22 01:19:00,0.197543,0.247087
BC-BB-F3-18890,2019-03-22 01:20:00,0.200811,0.256662
BC-BB-F3-18890,2019-03-22 01:21:00,0.20438,0.267174
BC-BB-F3-18890,2019-03-22 01:22:00,0.208374,0.278318
BC-BB-F3-18890,2019-03-22 01:23:00,0.212943,0.289803
BC-BB-F3-18890,2019-03-22 01:24:00,0.218242,0.301353
BC-BB-F3-18890,2019-03-22 01:25:00,0.22443,0.312678
BC-BB-F3-18890,2019-03-22 01:26:00,0.23158,0.323474
BC-BB-F3-18890,2019-03-22 01:27:00,0.239734,0.333488
BC-BB-F3-18890,2019-03-22 01:28:00,0.248707,0.34256
BC-BB-F3-18890,2019-03-22 01:29:00,0.258237,0.35065
BC-BB-F3-18890,2019-03-22 01:30:00,0.268115,0.357778
BC-BB-F3-18890,2019-03-22 01:31:00,0.278261,0.363994
BC-BB-F3-18890,2019-03-22 01:32:00,0.288497,0.369325
BC-BB-F3-18890,2019-03-22 01:33:00,0.298684,0.373744
BC-BB-F3-18890,2019-03-22 01:34:00,0.308751,0.377243
BC-BB-F3-18890,2019-03-22 01:35:00,0.318682,0.379856
BC-BB-F3-18890,2019-03-22 01:36:00,0.32857,0.381647
BC-BB-F3-18890,2019-03-22 01:37:00,0.338425,0.382741
BC-BB-F3-18890,2019-03-22 01:38:00,0.348207,0.383321
BC-BB-F3-18890,2019-03-22 01:39:00,0.357806,0.383599
BC-BB-F3-18890,2019-03-22 01:40:00,0.36705,0.383831
BC-BB-F3-18890,2019-03-22 01:41:00,0.375797,0.384399
BC-BB-F3-18890,2019-03-22 01:42:00,0.383959,0.385771
BC-BB-F3-18890,2019-03-22 01:43:00,0.391598,0.388386
BC-BB-F3-18890,2019-03-22 01:44:00,0.398885,0.392346
BC-BB-F3-18890,2019-03-22 01:45:00,0.405955,0.397206
BC-BB-F3-18890,2019-03-22 01:46:00,0.412794,0.40231
BC-BB-F3-18890,2019-03-22 01:47:00,0.419332,0.407164
BC-BB-F3-18890,2019-03-22 01:48:00,0.42546,0.411491
BC-BB-F3-18890,2019-03-22 01:49:00,0.431018,0.415187
BC-BB-F3-18890,2019-03-22 01:50:00,0.436,0.418327
BC-BB-F3-18890,2019-03-22 01:51:00,0.440359,0.421038
BC-BB-F3-18890,2019-03-22 01:52:00,0.44415,0.423431
BC-BB-F3-18890,2019-03-22 01:53:00,0.447505,0.42558
BC-BB-F3-18890,2019-03-22 01:54:00,0.450554,0.427531
BC-BB-F3-18890,2019-03-22 01:55:00,0.45341,0.429314
BC-BB-F3-18890,2019-03-22 01:56:00,0.456133,0.430945
BC-BB-F3-18890,2019-03-22 01:57:00,0.458749,0.432431
BC-BB-F3-18890,2019-03-22 01:58:00,0.461277,0.433777
BC-BB-F3-18890,2019-03-22 01:59:00,0.463725,0.434995
BC-BB-F3-18890,2019-03-22 02:00:00,0.466094,0.436103
BC-BB-F3-18890,2019-03-22 02:01:00,0.468387,0.43712
